date,open,high,low,close,year,month,day,day_name,price_change,price_range,pct_gain_loss,ma_7,ma_30,volatility,risk_level,volume_per_million,market_trend
2018-09-05,360.0,363.39,335.83,341.18,2018,9,5,Wednesday,-18.82,27.56,-6.0,363.51,347.41,0.03,High Risk,13.09,Bearish
2018-09-06,347.44,356.0,341.99,346.46,2018,9,6,Thursday,-0.98,14.01,2.0,360.92,346.86,0.03,High Risk,13.05,Bearish
2018-09-07,342.2,355.75,341.25,348.68,2018,9,7,Friday,6.48,14.5,1.0,358.09,346.38,0.03,High Risk,9.11,Bullish
2018-09-10,352.27,352.5,343.08,348.41,2018,9,10,Monday,-3.86,9.42,-0.0,355.28,346.16,0.03,High Risk,5.75,Bearish
2018-09-11,344.67,356.15,343.9,355.93,2018,9,11,Tuesday,11.26,12.25,2.0,353.13,346.85,0.03,High Risk,6.2,Bullish
2018-09-12,359.08,370.43,356.24,369.95,2018,9,12,Wednesday,10.87,14.19,4.0,353.46,347.94,0.03,High Risk,10.48,Bullish
2018-09-13,371.91,374.09,366.84,368.15,2018,9,13,Thursday,-3.76,7.25,-0.0,354.11,348.93,0.03,High Risk,8.37,Bearish
2018-09-14,368.55,371.09,363.46,364.56,2018,9,14,Friday,-3.99,7.63,-1.0,357.45,349.6,0.02,Low Risk,4.76,Bearish
2018-09-17,364.22,367.33,349.57,350.35,2018,9,17,Monday,-13.87,17.76,-4.0,358.0,349.84,0.02,High Risk,7.07,Bearish
2018-09-18,353.67,368.15,351.56,367.65,2018,9,18,Tuesday,13.98,16.59,5.0,360.71,350.4,0.03,High Risk,10.41,Bullish
2018-09-19,373.95,377.61,359.17,366.96,2018,9,19,Wednesday,-6.99,18.44,-0.0,363.36,350.9,0.03,High Risk,11.88,Bearish
2018-09-20,370.26,370.26,363.17,365.36,2018,9,20,Thursday,-4.9,7.09,-0.0,364.71,351.49,0.03,High Risk,6.77,Bearish
2018-09-21,366.59,372.22,360.74,361.19,2018,9,21,Friday,-5.4,11.48,-1.0,363.46,351.89,0.03,High Risk,11.93,Bearish
2018-09-24,359.0,373.64,354.33,369.61,2018,9,24,Monday,10.61,19.31,2.0,363.67,352.68,0.03,High Risk,9.32,Bullish
2018-09-25,370.23,371.34,364.49,369.43,2018,9,25,Tuesday,-0.8,6.85,-0.0,364.36,353.62,0.03,High Risk,6.8,Bearish
2018-09-26,373.59,382.0,370.88,377.88,2018,9,26,Wednesday,4.29,11.12,2.0,368.3,354.96,0.02,Low Risk,13.8,Bullish
2018-09-27,379.87,383.2,376.0,380.71,2018,9,27,Thursday,0.84,7.2,1.0,370.16,356.77,0.01,Low Risk,7.33,Bullish
2018-09-28,379.24,380.8,373.73,374.13,2018,9,28,Friday,-5.11,7.07,-2.0,371.19,358.5,0.02,Low Risk,7.11,Bearish
2018-10-01,375.85,386.11,375.59,381.43,2018,10,1,Monday,5.58,10.52,2.0,373.48,360.65,0.02,Low Risk,8.38,Bullish
